"pid","S1","S2","S3","A0","S4_Android","S4_Gmail","S4_Google_Chrome","S4_Google_Drive","S4_Google_Maps","S4_Google_News","S4_Google_Pay","S4_Google_Play_Store","S4_Google_Search","S4_YouTube","S5","IUIPC1","IUIPC2","IUIPC3","IUIPC4","IUIPC5","IUIPC6","IUIPC7","IUIPC8","IUIPC9","IUIPC10","Q1","Q2","Q2_A","Q3","Q3_A","Q4","Q5","Q6","A1","Q7_1","Q7_2","Q7_3","Q7_A_1","Q7_A_2","Q7_A_3","Q7_B_1","Q7_B_2","Q7_B_3","Q8","Q9","Q10_recent_search","Q11_recent_search","Q12_recent_search","Q13_recent_search","Q14_recent_search","Q10_recent_youtube","Q11_recent_youtube","Q12_recent_youtube","Q13_recent_youtube","Q14_recent_youtube","Q10_recent_maps","Q11_recent_maps","Q12_recent_maps","Q13_recent_maps","Q14_recent_maps","Q10_threemonth_search","Q11_threemonth_search","Q12_threemonth_search","Q13_threemonth_search","Q14_threemonth_search","Q10_threemonth_youtube","Q11_threemonth_youtube","Q12_threemonth_youtube","Q13_threemonth_youtube","Q14_threemonth_youtube","Q10_threemonth_maps","Q11_threemonth_maps","Q12_threemonth_maps","Q13_threemonth_maps","Q14_threemonth_maps","Q10_eighteenmonth_search","Q11_eighteenmonth_search","Q12_eighteenmonth_search","Q13_eighteenmonth_search","Q14_eighteenmonth_search","Q10_eighteenmonth_youtube","Q11_eighteenmonth_youtube","Q12_eighteenmonth_youtube","Q13_eighteenmonth_youtube","Q14_eighteenmonth_youtube","Q10_eighteenmonth_maps","Q11_eighteenmonth_maps","Q12_eighteenmonth_maps","Q13_eighteenmonth_maps","Q14_eighteenmonth_maps","Q15_1","Q15_2","Q16","Q17","Q18","Q19","Q20_web","Q20_youtube","Q20_maps","Q20_A","Q21","A2","Q22","Q22_A","Q23","Q23_A","Q24","Q24_A","Q25","Q25_A","Q25_B","Q25_C","Q26","Q26_A","Q27","Q27_A","D1","D2","D3","D4","oldest_activity","activities_total"
33,"Yes","More than five years","Gmail, Google Chrome, Google Maps, Google Search, YouTube","Yes",NA,"Often","Sometimes",NA,"Sometimes",NA,NA,NA,"Always","Often","Very important","Agree","Agree","Agree","Agree","Strongly agree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Moderately aware","Slightly concerned","I'll feel that the majority, if not all, is the simple harvesting of my information as marketing demographics.","Often","I receive a large number of relevant ads that heighten my awareness of brands and services that are, for the most part, quite beneficial and useful to me.","I limit access using controls provided to me through Google.","I wasn't aware that google picked up on browsing from both my desktop computer and my smartphone as well.","No","Round","To find out what my interests are for marketing purposes.","To fit me in some sort of demographic algorithim.","To customize my experience with google products.","Extremely beneficial","Slightly beneficial","Moderately beneficial","Not at all harmful","Slightly harmful","Not at all harmful","I don't have any concerns as long as Google isn't passing this information on to any unscrupulous businesses or entities.","Strongly agree","Yes","Yes","Agree","Greatly improves my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Improves my experience","I wouldn't delete","Yes","Yes","Agree","Improves my experience","I wouldn't delete","Yes","No","Strongly agree","Greatly improves my experience","I wouldn't delete","Yes","No","Strongly agree","Improves my experience","I wouldn't delete","Yes","No","Strongly agree","Improves my experience","I wouldn't delete","No","No","Agree","Improves my experience","I wouldn't delete","Yes","No","Agree","Improves my experience","I wouldn't delete","Yes","No","Agree","Improves my experience","I wouldn't delete","indifferent","fine",0,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","No change","No change","No change","I really don't care one way or the other. I really don't have anything to hide.","Google no longer collects activity data about me","Red","Strongly agree","It provides explanations into why certain data is collected.","No","I wouldn't change anything, it's fine the way that it is.","No","I really wouldn't delete anything.","No","","I don't find anything harmful in the data that is collected from my use of their products.","","Not at all concerned","The fact remains that the information they retain contains nothing detrimental to me and their collection of it only serves the purpose of personalizing and customizing services they provide to me.","Always","I get products and services that are tailored to my interests and needs.","Man","45 - 54","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2008-11-14,40225
34,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Play Store, Google News, Google Maps, Google Search, YouTube","No","Always","Always","Always","Often","Always","Often",NA,"Often","Always","Always","Very important","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Somewhat aware","Somewhat concerned","It is hard to feel comfortable without knowing all the information Google uses about you.","Sometimes","Customized ads to reflect my life style.","Keep the subscriptions to other sites low.","Wow, they collect an awful lot about you.","No","Round","Marketing and monetizing the harvested information.","research to make products better.","Customizing what ads you see.","Slightly beneficial","Somewhat beneficial","Somewhat beneficial","Moderately harmful","Somewhat harmful","Slightly harmful","Who sees this information.","Agree","Yes","Unsure","Neither agree nor disagree","Slightly improves my experience","After a week","Yes","Yes","Disagree","Slightly harms my experience","After a week","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week","No","No","Disagree","Slightly harms my experience","After a week","Yes","No","Disagree","Slightly harms my experience","After a week","Yes","No","Disagree","Slightly harms my experience","After a week","No","No","Disagree","Slightly harms my experience","After a week","No","Unsure","Disagree","Slightly harms my experience","After a week","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a week","not private","alienated",5,"Slightly inappropriate","Slightly inappropriate","Slightly inappropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","If I need to look up that information, I think 3 months is long enough.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","They can test new products with a great data source.","Unsure","Length of storage of my information.","Unsure","All if I did do it.","Unsure","","","It is such a handy tool.","Somewhat concerned","Online privacy and not knowing where the information ends up.","Rarely","I search very basic items.","Man","55 - 64","Bachelor's degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2011-12-16,40502
35,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Sometimes","Often",NA,NA,NA,"Often","Always","Moderately important","Agree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Agree","Agree","Agree","Somewhat agree","Moderately aware","Somewhat concerned","It's hard to know what exactly is being done with the information Google gathers about me. I think that there's a lot of potential to be led to biased information and marketing based on what Google thinks I want to see.","Sometimes","Sometimes I'm sure that the information makes my searches more efficient by leading me to what I want faster.","Not really. I just try to be conscious concerning what information I share.","Theres a lot of information that can be inferred from my search queries that I hadn't considered before.","No","Round","To determine what advertising it should forward me","To collect information on me as a user for future marketing use","To potentially sell to to other s that might be interested in marketing to me","Slightly beneficial","Slightly beneficial","Not at all beneficial","Not at all harmful","Not at all harmful","Somewhat harmful","I'm concerned with their potential to sell this information and that as a corporation they do not my best interests in mind as a consumer","Neither agree nor disagree","Yes","Unsure","Disagree","Does not change my experience","After a few hours","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Unsure","Disagree","Does not change my experience","After a week","Yes","Unsure","Disagree","Slightly harms my experience","After a week","Yes","Unsure","Disagree","Slightly harms my experience","After a month","No","Yes","Agree","Slightly improves my experience","After 3 months","No","Unsure","Disagree","Does not change my experience","After a week","No","Yes","Disagree","Slightly harms my experience","After a month","No","Yes","Neither agree nor disagree","Slightly improves my experience","After 3 months","unsurprised","indifferent",10,"Slightly inappropriate","Neutral","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 18 months","I guess I don't care all that much, but I do take some comfort in the thought that the things I looked up years ago won't be held against me today?","Google still collects activity data about me, but does not associate it with my account","Red","Agree","It just allows me to see all of the searches I make across all of the different platforms that I use. There are so many that it can be difficult to keep track of.","Unsure","I would have to browse the settings more closely to accurately answer this","Unsure","I don't care about deleting anything so much as it not being stored indefinitely ","Unsure","","","I'm not sure if I can cut google out of my workflow and daily life as much as would be ideal because it is so encompassing.","Slightly concerned","I know that it's probably being used for marketing purposes rather than anything specifically nefarious and I always have the choice to just ignore an advertisement. That said, this is probably not being done in my best interest so much as it is a means to make money off of my use.","Sometimes","In some instances, it's useful to browse through past searches and see where I left off on a subject or return to a specific piece of information","Woman","25 - 34","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2011-07-18,44520
36,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Rarely","Always",NA,NA,NA,"Always","Always","Very important","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Agree","Strongly agree","Not at all aware","Moderately concerned","I want to know what types of information are being collected and sold to ","Never","I do not like advertisements therefore, keeping track of my purchases or search history isn't going to help me in the long run","Google could send me a report of the information they collected and let me decide how I want to share it.","I would have like to have had access to the links on the right hand side of the page where I could view other google activity, and activity controls.","No","Round","To sell my browsing activities to businesses.","To determine how to make my searches more useful to me","Predict trends","Not at all beneficial","Extremely beneficial","Slightly beneficial","Extremely harmful","Not at all harmful","Somewhat harmful","Who uses it?","Neither agree nor disagree","Yes","No","Strongly disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","Yes","No","Strongly disagree","Does not change my experience","After a day","Yes","No","Disagree","Does not change my experience","After a day","No","No","Strongly disagree","Does not change my experience","After a day","Yes","No","Agree","Improves my experience","After a month","No","No","Neither agree nor disagree","Does not change my experience","After a day","No","No","Disagree","Does not change my experience","After a day","No","No","Neither agree nor disagree","Does not change my experience","After a day","No","No","Strongly disagree","Does not change my experience","After a day","Kind of irritated that someone is looking at my browsing activities.","Storing my youtube videos is helpful if I want to see them again, but I have a place to store the videos I choose to view again already.",0,"Slightly appropriate","Slightly appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","Things change, I don't need to view places on a map I visited over a week ago!","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Disagree","It is just showing me the places I visited, but not what they do with the information they collected.","Yes","I would visit the activity controls page for sure.","Yes","All of them","Yes","I will continue to use Google but I will be more vigilant about deleting my history in the my contents page","","","Extremely concerned","What are they doing with it? I still don't know.","Rarely","Being able to recall information so I can search it again is useful but I really don't need to know where I went 3 months ago.","Woman","45 - 54","Associate degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2018-07-03,10471
37,"Yes","More than five years","Gmail, Google Drive, Google Maps, YouTube, Google Search","No",NA,"Always",NA,"Often","Sometimes",NA,NA,NA,"Always","Always","Very important","Agree","Somewhat disagree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Moderately aware","Moderately concerned","I know Google stores my information, location, and previous searches and I don't really care for that. I wish I had more ways to protect my information and stop Google from tracking everything.","Rarely","I don't really mind personalized ads sometimes, but I also sometimes find them creepy. I have been recommended a few cool products.","I turned off ad personalization and try to use a private browser for searching.","It kindof creeps me out to be honest. I don't feel ashamed or embarrassed of any of my activity, but it's definitely weird and I feel like it knows a lot about me. ","Yes","Red","Advertising","Recommended products","predictive text","Somewhat beneficial","Somewhat beneficial","Somewhat beneficial","Somewhat harmful","Somewhat harmful","Somewhat harmful","I just wish we had more flexibility and choices on what Google was collecting.","Neither agree nor disagree","Yes","No","Disagree","Does not change my experience","After 3 months","Yes","No","Agree","Improves my experience","I wouldn't delete","Yes","Unsure","Neither agree nor disagree","Slightly improves my experience","After a week","Yes","No","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","No","Agree","Improves my experience","After 3 months","No","No","Neither agree nor disagree","Does not change my experience","After 3 months","Yes","No","Agree","Slightly improves my experience","After 3 months","Yes","No","Disagree","Slightly harms my experience","After a few hours","No","No","Neither agree nor disagree","Does not change my experience","After 3 months","strange","violated",2,"Neutral","Appropriate","Slightly appropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","I don't think it is necessary to recall so much of my data especially items I don't really remember looking for.","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","It's interesting to see what they can track and what they can see.","Yes","Location tracking.","Yes","Not quite sure at this time.","Unsure","","","I realize Google products are necessary to my lifestyle and work, but I also like to be in control of my data. I'm not quite sure what the best course of action is at this point.","Slightly concerned","It's weird knowing how much this company collects about me.","Sometimes","I think it's most helpful in the Youtube recommended videos system.","Woman","25 - 34","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2008-07-21,0
38,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, YouTube, Google Search, Google Play Store, Android, Google News","No","Always","Always","Always","Often","Always","Often",NA,"Always","Always","Always","Very important","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Agree","Somewhat aware","Somewhat concerned","I feel like there's a possibility that my data is not as secure as they claim.","Rarely","I don't feel like the data they collect benefits me in any way.","Sometimes I will use a VPN.","I was a little bit surprised to see that everything I have said to my Google home was also recorded in the My Activity page but other than that I saw all the information I was expecting.","No","Round","To target advertising towards my interests.","To allow me to keep track of my activity.","To sell.","Slightly beneficial","Moderately beneficial","Not at all beneficial","Not at all harmful","Not at all harmful","Moderately harmful","I have some concerns about the security of the information I give out.","Neither agree nor disagree","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","No","Neither agree nor disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Unsure","Yes","Disagree","Does not change my experience","After a week","Informed","Revealed",2,"Slightly appropriate","Appropriate","Appropriate","Delete immediately","Delete after 3 months","Delete after 3 months","I feel like some of the information is not necessary to keep for so long.","Google no longer collects activity data about me","Red","Agree","It was displaying all the activities I've done with Google which allowed me to see what information they tend to keep.","Unsure","I would change the suggestions for other videos or products I haven't tried.","Unsure","I might delete search results.","Unsure","","","I'm not sure if it is truly necessary to change anything by now.","Somewhat concerned","I feel like they collect more information then needed.","Sometimes","It can be helpful in Google maps.","Woman","25 - 34","High school graduate, diploma, or equivalent (e.g., GED, Abitur, baccalaureat)","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2012-10-15,39166
39,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google Pay, Google Play Store, Google Search, YouTube","No","Always","Always","Always","Always","Sometimes",NA,"Rarely","Often","Always","Often","Very important","Agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Agree","Moderately aware","Moderately concerned","I find it concerning because I think Google gathers more data than I'm aware. That data could then be used by some other company that Google decides to sell it to, or it could be hacked and used by someone with ill intentions. ","Rarely","I think the information Google collects benefits them more than it does me. They can use it to push the products/ideas/goals that they want but tailored toward me. ","I might use an incognito browser or I restrict what data can be gathered when prompted by Google or other entities. ","I was not happy to see how extensive the data collected was. I saw sites I visited and apps I used. ","Yes","Round","To tailor recommendations to me","To use my data to sell to advertisers","To allow me to see how my account is being used","Slightly beneficial","Not at all beneficial","Slightly beneficial","Slightly harmful","Extremely harmful","Not at all harmful","Probably, but nothing I can put in words right now. ","Neither agree nor disagree","Yes","Yes","Disagree","Does not change my experience","After a day","Yes","Yes","Agree","Improves my experience","I wouldn't delete","No","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a week","No","Yes","Disagree","Does not change my experience","After a week","Unsure","Yes","Neither agree nor disagree","Does not change my experience","After a week","Yes","Yes","Neither agree nor disagree","Does not change my experience","After a month","No","Yes","Disagree","Does not change my experience","After a week","Amusement when remembering why I searched/watched what I did","Annoyance that some of that information was still there even though it isn't relevant at all now. ",0,"Slightly inappropriate","Slightly appropriate","Inappropriate","Delete after 3 months","Delete after 3 months","Delete after 3 months","After three months, I think most of my activities wouldn't be relevant any longer. If they were, I probably already bookmarked it or did something else to keep it in my awareness. I would be tempted for a shorter timespan, but deleting immediately may hinder me in some work aspects. ","Google still collects activity data about me, but does not associate it with my account","Red","Neither agree nor disagree","I think it gives me a better understanding, but I don't believe Google is being completely transparent on their end with what they keep or use. It is just what I can control on my end. ","Yes","I would change the time limit and possibly change what type of activities are gathered. ","Unsure","Web searches","Unsure","","","I really heavily on Google products in my everyday life and work life. It would cause me to find other avenues to continue doing and working the way that I currently do. Unfortunately, I've tied myself too completely to Google. ","Somewhat concerned","At this point, it just seems inevitable. I know they're going to collect information. What little I can do to limit that I will.","Sometimes","I benefit occasionally with recommendations. ","Woman","25 - 34","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2011-10-11,5553
40,"Yes","More than five years","Android, Gmail, Google Chrome, Google Drive, Google Maps, Google Play Store, Google Search, YouTube","No","Always","Always","Sometimes","Always","Always",NA,NA,"Often","Always","Often","Important","Agree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat aware","Moderately concerned","In general I want more control over my personal data that is being used by companies such as Google to make money.","Sometimes","There are times when targeted ads or suggestions from google products are convenient for me","No, I do not although I do plan on requesting to see the data that Google does have on me and reviewing it.","There was nothing particularly surprising or concerning. One page I do not recall visiting in my most recent activity. It was a reminder of what I have read the past few days,","Yes","Round","Sell ads","provide services to keep me in the google ecosystem","improve their products","Slightly beneficial","Moderately beneficial","Moderately beneficial","Slightly harmful","Slightly harmful","Not at all harmful","I wonder how secure it is and if it could be accessed by bad actors.","Agree","Yes","Yes","Disagree","Slightly harms my experience","After a month","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Disagree","Does not change my experience","After a week","Yes","Yes","Disagree","Does not change my experience","After a month","Yes","Yes","Disagree","Does not change my experience","After a month","Yes","Yes","Disagree","Does not change my experience","After a month","Unsure","Yes","Disagree","Does not change my experience","After a month","Yes","Yes","Disagree","Does not change my experience","After a month","Unsure","Yes","Disagree","Does not change my experience","After a month","Reminiscent","Neutral",7,"Slightly appropriate","Slightly appropriate","Slightly appropriate","Delete after 3 months","Delete after 18 months","Delete after 3 months","I do not think this data stored long term provides me with much utility and could possibly be abused.","Google no longer collects activity data about me","Red","Agree","I could see the data that Google had going back some time.","Yes","I would probably lower the time data is stored","Unsure","Search history.","No","","They are useful enough to me to be worth the risk when doing a risk benefit analysis.","","Slightly concerned","I am concerned for the security of the data and the general risk of really micro targeted data that could be used by bad actors.","Sometimes","I like the record of what I have done and sometimes their suggestions are useful to me.","Man","35 - 44","Master's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2007-04-24,66493
41,"Yes","Three years","Android, Gmail, Google Chrome, Google Drive, Google Play Store, Google Maps, Google Search, YouTube, Google News","No","Always","Sometimes","Always","Often","Often","Sometimes",NA,"Sometimes","Always","Often","Very important","Agree","Agree","Somewhat agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Slightly aware","Slightly concerned","I don't like my information being collected, but I love the convenience of Google and I'm not really sure how I lived most of my life without it. ","Sometimes","I like how Google knows what I want before I finish typing. I think that ability is helped by information collection. ","Not really, I click the buttons that allow anonymous collection, but I'm sure they collect more that I don't really know about. ","They know everything I do.","No","Round","To target ads at me.","To find things that I will want to offer me so I become more dependant on Google. ","To make money for Google. ","Slightly beneficial","Slightly beneficial","Not at all beneficial","Slightly harmful","Slightly harmful","Slightly harmful","I don't like it, it feels like stalking. ","Agree","Yes","Yes","Disagree","Slightly harms my experience","After a few hours","Yes","Yes","Disagree","Slightly harms my experience","After a few hours","Yes","Yes","Disagree","Slightly harms my experience","After a few hours","No","Yes","Disagree","Does not change my experience","After a few hours","Yes","Yes","Disagree","Slightly harms my experience","After a few hours","No","No","Disagree","Slightly harms my experience","After a few hours","No","Yes","Disagree","Slightly harms my experience","After a few hours","Yes","No","Disagree","Slightly harms my experience","After a few hours","No","Yes","Disagree","Slightly harms my experience","After a few hours","Confusion, I don't remember doing some of the things in my history.","Stalked, Google knows more about me than I do. ",5,"Appropriate","Appropriate","Appropriate","Delete immediately","Delete immediately","Delete immediately","I don't like feeling stalked, especially on things from months ago that I don't even remember doing anymore. ","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","It shows at least some of what Google collects about me. ","Unsure","I'm not sure, I don't like feeling stalked but I really like Google knowing what I want before I do.","Unsure","I'm not sure, I would have to weigh convenience for me vs. the feeling of too much information being collected. ","No","","I'm addicted to the convenience of Google. ","","Slightly concerned","If I were famous, or rich, or interesting Google has enough information on me for a lot of blackmail. I'm too poor and boring to be blackmailable. ","Often","Google knows what I want as soon as I realize I want it. ","Woman","55 - 64","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2011-02-19,19906
42,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Search, YouTube, Google Maps","No",NA,"Always","Sometimes","Sometimes","Always",NA,NA,NA,"Always","Always","Very important","Agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Moderately aware","Moderately concerned","I don't feel that the data collected, which I feel the majority is shopping habits, have any benefit. I think private information is too often collected and stored. I feel that no data collected is 100% safely stored. I feel that humans have an inherit evil side to themselves and given the opportunity some will use whatever they can to their benefit to the detriment of others.","Sometimes","The majority is shopping suggestions. ","I sometimes use a private window, which I am not confident in. I also try to limit some of my personal information.","It is what I expected. Although I was surprised the full thumbnails of youtube videos were shown. It doesn't seem like something that most people would be interested in exploring.","Yes","Round","sell to retailers / other companies","search suggestions","research human behavior","Not at all beneficial","Slightly beneficial","Slightly beneficial","Somewhat harmful","Not at all harmful","Slightly harmful","I am confident that given the opportunity, some human with any access to the data will use it for selfish reasons, possibly to the detriment of others. I worry about the security of the information.","Agree","Yes","Yes","Disagree","Does not change my experience","After a few hours","Yes","No","Agree","Slightly improves my experience","I wouldn't delete","Yes","Yes","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","No","Yes","Disagree","Does not change my experience","After a few hours","Yes","No","Agree","Slightly improves my experience","I wouldn't delete","Yes","Yes","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","Unsure","Yes","Agree","Does not change my experience","After a few hours","Yes","No","Agree","Improves my experience","I wouldn't delete","No","No","Disagree","Does not change my experience","Immediately, I do not want this data to be collected","placid ","indifferent",0,"Slightly appropriate","Absolutely appropriate","Inappropriate","Delete after 3 months","Never delete","Delete immediately","I think that privacy as far as location is important. I feel its just a basic right.","Google no longer collects activity data about me","Red","Agree","It showed me some data collected that I was unaware of. However, my greatest concern is how it is used and by who else.","Yes","I would stop most of the collection of data in Maps.","No","Places visited in Maps.","Yes","Just going to change the setting in Maps. Most everything else I have accepted as part and parcel with the service.","","","Somewhat concerned","I'm worried about the misuse of the data and security of it.","Sometimes","I feel its more a slight convenience than life changing and I am a person who is very willing to forgo a slight increase in convenience for more piece of mind.","Man","25 - 34","Some college credit, no degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2017-03-13,13301
43,"Yes","More than five years","Gmail, Android, Google Chrome, Google Drive, Google Search, Google Play Store, YouTube, Google Maps","No","Always","Always","Always","Often","Sometimes",NA,NA,"Sometimes","Always","Always","Slightly important","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Strongly agree","Moderately aware","Slightly concerned","I know data can be used in powerful ways, but I'm not too concerned regarding the collection itself. I am mainly concerned with where the data is going because I am not informed about that.","Rarely","I believe the advertisements I get provide some benefit.","Go into my privacy settings to limit the amount of information they can collect. I can also just omit information so Google can't collect it in the first place.","Some gaps were in it, but I remember all of those searches.","Yes","Round","Sell to advertisers","Adjust services to better fit your needs","Make improvements to search engine","Slightly beneficial","Moderately beneficial","Extremely beneficial","Slightly harmful","Not at all harmful","Not at all harmful","As I said earlier, my main concern is that I don't know who is getting the information.","Agree","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete",NA,NA,NA,NA,NA,"Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete","Yes","Yes","Strongly disagree","Does not change my experience","After 3 months",NA,NA,NA,NA,NA,"Yes","Yes","Agree","Does not change my experience","I wouldn't delete","Yes","Yes","Neither agree nor disagree","Does not change my experience","I wouldn't delete",NA,NA,NA,NA,NA,"Yes","Yes","Agree","Does not change my experience","I wouldn't delete","Intrigued","Surprised",0,"Absolutely appropriate","Absolutely appropriate","Absolutely appropriate","Delete after 18 months","Delete after 18 months","Delete after 18 months","I don't really have a preference. I just think that deleting after a certain amount of time would help clear it up. Surely you wouldn't need personalized searches based off of years of data","Google still collects activity data about me, but does not associate it with my account","Red","Neither agree nor disagree","It tells you, but it just shows the searches and activity. It doesn't say if it is collecting more information associated with it (Asides from the obvious things such as GPS data and IP addresses.","No","If I had to, deleting messages after x amount of time.","Yes","Just want to see if it tracks everything and how it works exactly.","No","","I like Google products and seeing my activity doesn't surprise me because I know it is being collected.","","Somewhat concerned","Not sure where the info is going.","Sometimes","I get personalized ads which aren't terrible.","Man","18 - 24","Associate degree","I have an education in, or work in, the field of computer science, computer engineering or IT.",2015-12-31,13924
44,"Yes","More than five years","Gmail, Google Chrome, Google Drive, Google Maps, Google Search, YouTube","No",NA,"Always","Always","Often","Often",NA,NA,NA,"Always","Often","Very important","Agree","Agree","Agree","Agree","Strongly agree","Agree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Moderately aware","Moderately concerned","I'm concerned about my privacy and potentially having sensitive information or passwords leaked. ","Rarely","I don't see much of a benefit to Google collecting information about my activities. It's somewhat helpful in customizing searches, but that's about it.","I try my best to not store personal information on Google, but it can be somewhat unavoidable. ","I'm a little concerned and surprised by the amount of information about my activities that Google is collecting and tracking. ","No","Round","Selling the information to advertisers","Optimizing search results ","Customizing searches based on past history","Not at all beneficial","Somewhat beneficial","Somewhat beneficial","Moderately harmful","Slightly harmful","Slightly harmful","I'm concerned about the people/companies that Google may be sharing this information with. ","Disagree","No","No","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Yes","No","Disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","No","No","Disagree","Slightly harms my experience","After a day","No","No","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","Yes","No","Disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","No","No","Disagree","Slightly harms my experience","After a day","No","No","Strongly disagree","Greatly harms my experience","Immediately, I do not want this data to be collected","No","No","Disagree","Slightly harms my experience","Immediately, I do not want this data to be collected","No","No","Disagree","Slightly harms my experience","After a day","Shocked","Concerned",5,"Slightly inappropriate","Slightly appropriate","Slightly appropriate","Delete immediately","Delete immediately","Delete immediately","I do not want my searches or videos being stored because there is a chance that they could contain sensitive information. I also don't want my maps activities being stored because that could be a potential safety threat if someone tracks those. ","Google still collects activity data about me and still associates it with my account, but simply does not display it on the My Activity page.","Red","Agree","It helps show me what Google is collecting about me. I was unaware of the extent of the data collection prior to this. ","Yes","I would have my settings changed so that it no longer stores any data. ","Unsure","I would rather change my settings so that this information isn't collected in the first place, but I would delete any sensitive information. ","Yes","I will be more careful with the information I provide, so that I am not putting myself at security risks. ","","","Extremely concerned","I'm very concerned about the information Google is collecting. There are potential security and safety risks. ","Rarely","I don't think that I benefit from this information being collected, aside from possibly having personalized recommendations. ","Woman","25 - 34","Bachelor's degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT.",2010-08-10,10820
